michelin_year,restaurant_name,michelin_stars,prior_stars,event_flag,area,flag
2015,SPQR,1,1,None,SF,Include
2015,Ubuntu,0,0,None,SF,Exclude
2015,Alexanders Steakhouse,0,0,None,SF,Include
2015,Frances,0,0,None,SF,Include
2015,étoile,0,0,None,SF,Exclude
2015,One Market Restaurant,0,0,None,SF,Include
2015,Fleur de Lys,0,0,None,SF,Exclude
2015,Santé,0,0,None,SF,Include
2015,State Bird Provisions,1,1,None,SF,Include
2015,La Costanera,0,0,None,SF,Include
2015,The Dining Room at the Ritz Carlton,0,0,None,SF,Exclude
2015,Applewood,0,0,None,SF,Exclude
2015,Dio Deka,0,0,None,SF,Include
2015,KUSAKABE,1,0,Gained 1 Star(s),SF,Include
2015,Murray Circle,0,0,None,SF,Include
2015,Lazy Bear,0,0,None,SF,Include
2015,Commonwealth,0,0,None,SF,Include
2015,Rasa,0,0,None,SF,Include
2015,Sushi Yoshizumi,0,0,None,SF,Include
2015,Mourad Restaurant,0,0,None,SF,Include
2015,Aster,0,0,None,SF,Include
2015,Californios,0,0,None,SF,Include
2015,Octavia,0,0,None,SF,Include
2015,ALs Place,0,0,None,SF,Include
2015,Trevese,0,0,None,SF,Exclude
2015,El Paseo,0,0,None,SF,Include
2015,Omakase,0,0,None,SF,Include
2015,Lord Stanley,0,0,None,SF,Include
2015,Nico,0,0,None,SF,Include
2015,Wako Japanese Restaurant,0,0,None,SF,Include
2015,Range Restaurant,0,0,None,SF,Include
2015,Mirepoix,0,0,None,SF,Exclude
2015,Fifth Floor,0,0,None,SF,Exclude
2015,Chez Panisse,0,0,None,SF,Include
2015,Kin Khao,0,0,None,SF,Include
2015,Maruya,1,0,Gained 1 Star(s),SF,Include
2014,The French Laundry,3,3,None,SF,Include
2014,The Restaurant At Meadowood,3,3,None,SF,Include
2014,Manresa,2,2,None,SF,Include
2014,Coi,2,2,None,SF,Include
2014,Saison,2,2,None,SF,Include
2014,Benu,2,2,None,SF,Include
2014,Baumé,2,2,None,SF,Include
2014,Quince,2,1,Gained 1 Star(s),SF,Include
2014,Atelier Crenn,2,2,None,SF,Include
2014,Acquerello,1,1,None,SF,Include
2014,Commis,1,1,None,SF,Include
2014,Aziza,1,1,None,SF,Include
2014,SolBar,1,1,None,SF,Include
2014,Bouchon,1,1,None,SF,Include
2014,Terra,1,1,None,SF,Exclude
2014,Madrona Manor,1,1,None,SF,Exclude
2014,Ame,1,1,None,SF,Include
2014,Plumed Horse,1,1,None,SF,Include
2014,Farmhouse Inn Restaurant,1,1,None,SF,Include
2014,Chez TJ,1,1,None,SF,Include
2014,La Toque,1,1,None,SF,Include
2014,Auberge du Soleil,1,1,None,SF,Exclude
2014,Luce,1,1,None,SF,Exclude
2014,Campton Place Restaurant,1,1,None,SF,Include
2014,Gary Danko,1,1,None,SF,Include
2014,The Village Pub,1,1,None,SF,Include
2014,Spruce,1,1,None,SF,Include
2014,Cyrus,0,0,None,SF,Exclude
2014,Boulevard,1,1,None,SF,Include
2014,Wakuriya,1,1,None,SF,Include
2014,La Folie,1,1,None,SF,Include
2014,Michael Mina,1,1,None,SF,Include
2014,Madera,1,1,None,SF,Include
2014,Terrapin Creek Cafe & Restaurant,1,1,None,SF,Include
2014,Sons & Daughters,1,1,None,SF,Include
2014,Redd,0,1,Lost 1 Star(s),SF,Include
2014,Keiko  Nob Hill,1,1,None,SF,Include
2014,Masas,0,1,Lost 1 Star(s),SF,Include
2014,All Spice,1,1,None,SF,Include
2014,SPQR,1,1,None,SF,Include
2014,Ubuntu,0,0,None,SF,Exclude
2014,Alexanders Steakhouse,0,1,Lost 1 Star(s),SF,Include
2014,Frances,0,1,Lost 1 Star(s),SF,Include
2014,étoile,0,0,None,SF,Exclude
2014,One Market Restaurant,0,0,None,SF,Include
2014,Fleur de Lys,0,0,None,SF,Exclude
2014,Santé,0,0,None,SF,Include
2014,State Bird Provisions,1,0,Gained 1 Star(s),SF,Include
2014,La Costanera,0,1,Lost 1 Star(s),SF,Include
2014,The Dining Room at the Ritz Carlton,0,0,None,SF,Exclude
2014,Applewood,0,0,None,SF,Exclude
2014,Dio Deka,0,0,None,SF,Include
2014,KUSAKABE,0,0,None,SF,Include
2014,Murray Circle,0,0,None,SF,Include
2014,Lazy Bear,0,0,None,SF,Include
2014,Commonwealth,0,0,None,SF,Include
2014,Rasa,0,0,None,SF,Include
2014,Sushi Yoshizumi,0,0,None,SF,Include
2014,Mourad Restaurant,0,0,None,SF,Include
2014,Aster,0,0,None,SF,Include
2014,Californios,0,0,None,SF,Include
2014,Octavia,0,0,None,SF,Include
2014,ALs Place,0,0,None,SF,Include
2014,Trevese,0,0,None,SF,Exclude
2014,El Paseo,0,0,None,SF,Include
2014,Omakase,0,0,None,SF,Include
2014,Lord Stanley,0,0,None,SF,Include
2014,Nico,0,0,None,SF,Include
2014,Wako Japanese Restaurant,0,0,None,SF,Include
2014,Range Restaurant,0,0,None,SF,Include
2014,Mirepoix,0,0,None,SF,Exclude
2014,Fifth Floor,0,0,None,SF,Exclude
2014,Chez Panisse,0,0,None,SF,Include
2014,Kin Khao,0,0,None,SF,Include
2014,Maruya,0,0,None,SF,Include
2013,The French Laundry,3,3,None,SF,Include
2013,The Restaurant At Meadowood,3,3,None,SF,Include
2013,Manresa,2,2,None,SF,Include
2013,Coi,2,2,None,SF,Include
2013,Saison,2,2,None,SF,Include
2013,Benu,2,2,None,SF,Include
2013,Baumé,2,2,None,SF,Include
2013,Quince,1,1,None,SF,Include
2013,Atelier Crenn,2,1,Gained 1 Star(s),SF,Include
2013,Acquerello,1,1,None,SF,Include
2013,Commis,1,1,None,SF,Include
2013,Aziza,1,1,None,SF,Include
2013,SolBar,1,1,None,SF,Include
2013,Bouchon,1,1,None,SF,Include
2013,Terra,1,1,None,SF,Exclude
2013,Madrona Manor,1,1,None,SF,Exclude
2013,Ame,1,1,None,SF,Include
2013,Plumed Horse,1,1,None,SF,Include
2013,Farmhouse Inn Restaurant,1,1,None,SF,Include
2013,Chez TJ,1,1,None,SF,Include
2013,La Toque,1,1,None,SF,Include
2013,Auberge du Soleil,1,1,None,SF,Exclude
2013,Luce,1,1,None,SF,Exclude
2013,Campton Place Restaurant,1,1,None,SF,Include
2013,Gary Danko,1,1,None,SF,Include
2013,The Village Pub,1,1,None,SF,Include
2013,Spruce,1,1,None,SF,Include
2013,Cyrus,0,2,Lost 2 Star(s),SF,Exclude
2013,Boulevard,1,1,None,SF,Include
2013,Wakuriya,1,1,None,SF,Include
2013,La Folie,1,1,None,SF,Include
2013,Michael Mina,1,1,None,SF,Include
2013,Madera,1,1,None,SF,Include
2013,Terrapin Creek Cafe & Restaurant,1,1,None,SF,Include
2013,Sons & Daughters,1,1,None,SF,Include
2013,Redd,1,1,None,SF,Include
2013,Keiko  Nob Hill,1,0,Gained 1 Star(s),SF,Include
2013,Masas,1,1,None,SF,Include
2013,All Spice,1,0,Gained 1 Star(s),SF,Include
2013,SPQR,1,0,Gained 1 Star(s),SF,Include
2013,Ubuntu,0,1,Lost 1 Star(s),SF,Exclude
2013,Alexanders Steakhouse,1,1,None,SF,Include
2013,Frances,1,1,None,SF,Include
2013,étoile,0,1,Lost 1 Star(s),SF,Exclude
2013,One Market Restaurant,0,1,Lost 1 Star(s),SF,Include
2013,Fleur de Lys,0,1,Lost 1 Star(s),SF,Exclude
2013,Santé,0,1,Lost 1 Star(s),SF,Include
2013,State Bird Provisions,0,0,None,SF,Include
2013,La Costanera,1,1,None,SF,Include
2013,The Dining Room at the Ritz Carlton,0,0,None,SF,Exclude
2013,Applewood,0,1,Lost 1 Star(s),SF,Exclude
2013,Dio Deka,0,1,Lost 1 Star(s),SF,Include
2013,KUSAKABE,0,0,None,SF,Include
2013,Murray Circle,0,0,None,SF,Include
